"Marriages: Länder, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics of marriages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marriages (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Länder,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
Baden-Württemberg,"61,448",e,"59,373",e,"60,724",e,"59,885",e,"59,591",e,"58,198",e,"57,898",e,"57,094",e,"55,693",e,"56,437",e,"55,422",e,"51,382",e,"51,946",e,"50,693",e,"51,382",e,"50,272",e,"48,780",e,"47,233",e,"48,612",e,"48,378",e,"48,927",e,"48,991",e,"50,555",e,"48,426",e,"50,751",e,"52,627",e,"54,556",e,"54,591",e,"58,417",e,"54,613",e,"50,533",e,"48,883",e,"52,375",e,"47,849",e,"46,700",e,"47,018",p
Bayern,"74,387",e,"72,651",e,"72,247",e,"70,475",e,"69,401",e,"67,075",e,"66,767",e,"65,419",e,"64,065",e,"65,489",e,"63,038",e,"60,226",e,"60,686",e,"59,009",e,"60,712",e,"59,617",e,"57,387",e,"57,220",e,"58,300",e,"58,812",e,"59,092",e,"59,274",e,"61,768",e,"59,623",e,"62,327",e,"65,128",e,"66,324",e,"66,790",e,"72,798",e,"68,501",e,"61,138",e,"59,670",e,"65,057",e,"60,549",e,"58,693",e,"58,643",p
Berlin,"21,850",e,"18,130",e,"17,895",e,"17,111",e,"17,269",e,"16,383",e,"15,813",e,"15,399",e,"14,526",e,"14,635",e,"14,119",e,"12,903",e,"12,800",e,"12,390",e,"12,569",e,"12,058",e,"11,634",e,"11,511",e,"11,762",e,"12,557",e,"12,394",e,"12,544",e,"13,222",e,"12,963",e,"13,373",e,"13,759",e,"13,748",e,"12,686",e,"15,660",e,"14,602",e,"12,288",e,"12,163",e,"12,341",e,"11,429",e,"11,243",e,"11,236",p
Brandenburg,"16,814",e,"8,328",e,"7,901",e,"7,901",e,"8,502",e,"8,775",e,"8,756",e,"8,709",e,"9,266",e,"10,219",e,"9,804",e,"9,744",e,"9,650",e,"9,974",e,"11,285",e,"11,504",e,"11,316",e,"11,430",e,"11,757",e,"12,066",e,"12,585",e,"12,115",e,"12,505",e,"12,245",e,"12,812",e,"13,314",e,"13,817",e,"14,156",e,"15,440",e,"14,203",e,"12,809",e,"11,818",e,"13,178",e,"11,895",e,"10,920",e,"10,955",p
Bremen,"4,338",e,"4,264",e,"4,005",e,"3,969",e,"3,859",e,"3,561",e,"3,509",e,"3,553",e,"3,477",e,"3,438",e,"3,269",e,"3,153",e,"3,130",e,"3,094",e,"2,950",e,"2,960",e,"2,850",e,"2,762",e,"2,804",e,"2,905",e,"2,978",e,"2,837",e,"2,706",e,"2,619",e,"2,800",e,"2,708",e,"2,677",e,"2,744",e,"3,360",e,"3,117",e,"2,765",e,"2,439",e,"2,642",e,"2,347",e,"2,296",e,"2,146",p
Hamburg,"9,938",e,"9,241",e,"9,006",e,"8,572",e,"8,537",e,"8,242",e,"7,886",e,"7,800",e,"7,994",e,"8,298",e,"7,865",e,"7,020",e,"6,999",e,"6,959",e,"6,793",e,"6,976",e,"6,921",e,"6,661",e,"6,615",e,"7,231",e,"7,452",e,"7,022",e,"6,774",e,"6,746",e,"6,142",e,"6,422",e,"6,388",e,"5,727",e,"6,274",e,"6,065",e,"4,766",e,"4,689",e,"4,323",e,"4,499",e,"5,320",e,"5,365",p
Hessen,"36,543",e,"35,654",e,"36,601",e,"35,070",e,"35,215",e,"34,517",e,"33,251",e,"32,877",e,"31,992",e,"32,621",e,"32,516",e,"29,832",e,"30,472",e,"29,613",e,"29,727",e,"28,669",e,"27,644",e,"26,928",e,"26,685",e,"27,248",e,"27,483",e,"27,468",e,"27,721",e,"26,894",e,"28,009",e,"28,833",e,"29,697",e,"29,281",e,"32,704",e,"30,152",e,"27,084",e,"26,589",e,"28,574",e,"26,388",e,"25,685",e,"25,941",p
Mecklenburg-Vorpommern,"12,706",e,"5,465",e,"5,386",e,"5,458",e,"5,626",e,"6,113",e,"6,490",e,"6,299",e,"6,903",e,"8,029",e,"8,083",e,"7,869",e,"7,901",e,"7,872",e,"9,567",e,"9,743",e,"9,440",e,"9,747",e,"10,464",e,"10,493",e,"10,751",e,"10,400",e,"10,713",e,"10,269",e,"10,678",e,"11,106",e,"11,660",e,"11,399",e,"12,274",e,"11,084",e,"9,560",e,"8,972",e,"9,747",e,"8,633",e,"8,569",e,"7,993",p
Niedersachsen,"49,335",e,"48,457",e,"48,796",e,"48,247",e,"47,349",e,"46,267",e,"46,669",e,"46,490",e,"46,532",e,"47,568",e,"45,233",e,"41,780",e,"42,391",e,"40,827",e,"41,794",e,"40,687",e,"39,091",e,"38,036",e,"39,234",e,"38,116",e,"38,373",e,"37,645",e,"38,947",e,"37,405",e,"38,792",e,"40,241",e,"41,284",e,"41,601",e,"45,990",e,"42,418",e,"38,791",e,"36,649",e,"40,735",e,"37,762",e,"35,860",e,"36,369",p
Nordrhein-Westfalen,"114,422",e,"111,286",e,"110,904",e,"106,315",e,"104,200",e,"100,793",e,"99,922",e,"99,779",e,"97,679",e,"99,645",e,"97,508",e,"89,529",e,"89,803",e,"87,768",e,"88,105",e,"85,528",e,"81,502",e,"80,091",e,"81,515",e,"81,861",e,"81,662",e,"80,829",e,"81,759",e,"79,895",e,"82,322",e,"85,045",e,"87,060",e,"86,475",e,"96,643",e,"89,476",e,"79,325",e,"76,771",e,"85,008",e,"79,261",e,"77,247",e,"76,900",p
Rheinland-Pfalz,"25,164",e,"24,796",e,"24,626",e,"24,006",e,"23,182",e,"22,922",e,"22,741",e,"22,509",e,"21,763",e,"22,641",e,"22,129",e,"20,608",e,"20,800",e,"20,123",e,"21,039",e,"20,265",e,"20,003",e,"19,542",e,"20,059",e,"19,867",e,"20,172",e,"20,212",e,"20,242",e,"19,223",e,"19,627",e,"20,341",e,"21,218",e,"20,747",e,"22,654",e,"20,826",e,"18,909",e,"18,528",e,"20,427",e,"18,634",e,"17,676",e,"17,643",p
Saarland,"7,188",e,"7,050",e,"6,943",e,"6,528",e,"6,427",e,"6,095",e,"6,181",e,"5,829",e,"5,857",e,"6,150",e,"5,856",e,"5,417",e,"5,289",e,"5,141",e,"5,265",e,"5,069",e,"4,670",e,"4,774",e,"4,936",e,"4,874",e,"4,804",e,"4,866",e,"4,968",e,"4,502",e,"4,702",e,"4,861",e,"4,980",e,"4,698",e,"5,363",e,"4,804",e,"4,339",e,"4,154",e,"4,602",e,"4,309",e,"4,160",e,"3,995",p
Sachsen,"29,603",e,"14,731",e,"13,405",e,"13,808",e,"14,795",e,"15,474",e,"15,402",e,"15,287",e,"15,648",e,"17,145",e,"16,482",e,"15,421",e,"15,188",e,"14,778",e,"16,851",e,"17,156",e,"16,754",e,"16,965",e,"17,397",e,"17,585",e,"18,391",e,"17,580",e,"18,348",e,"17,323",e,"17,883",e,"18,541",e,"18,750",e,"18,942",e,"20,586",e,"18,302",e,"16,890",e,"15,148",e,"16,246",e,"15,206",e,"14,512",e,"14,359",p
Sachsen-Anhalt,"18,393",e,"8,301",e,"8,329",e,"8,854",e,"9,415",e,"9,667",e,"9,534",e,"9,285",e,"9,485",e,"10,667",e,"10,310",e,"9,359",e,"9,274",e,"9,314",e,"10,748",e,"10,980",e,"10,114",e,"10,117",e,"10,515",e,"10,346",e,"10,453",e,"10,264",e,"10,707",e,"10,083",e,"10,146",e,"10,575",e,"10,465",e,"10,424",e,"11,370",e,"10,217",e,"9,187",e,"8,427",e,"9,266",e,"8,469",e,"7,901",e,"7,834",p
Schleswig-Holstein,"18,530",e,"18,258",e,"18,897",e,"18,451",e,"18,295",e,"17,671",e,"17,832",e,"17,828",e,"17,949",e,"18,396",e,"17,849",e,"16,773",e,"17,037",e,"16,984",e,"17,514",e,"17,131",e,"16,263",e,"16,451",e,"16,590",e,"16,345",e,"16,456",e,"16,019",e,"16,383",e,"15,861",e,"15,922",e,"16,880",e,"17,687",e,"17,593",e,"19,527",e,"18,602",e,"16,383",e,"15,157",e,"17,688",e,"16,112",e,"15,073",e,"15,090",p
Thüringen,"15,729",e,"8,306",e,"7,763",e,"7,955",e,"8,581",e,"8,781",e,"8,646",e,"8,619",e,"8,591",e,"9,296",e,"9,067",e,"8,575",e,"8,597",e,"8,372",e,"9,691",e,"9,836",e,"9,312",e,"9,454",e,"9,810",e,"9,755",e,"10,074",e,"9,750",e,"10,105",e,"9,578",e,"9,666",e,"9,734",e,"10,115",e,"9,612",e,"10,406",e,"9,342",e,"8,537",e,"7,728",e,"8,534",e,"7,637",e,"7,361",e,"7,170",p
