"Population: Länder, reference date",,,,,,,,,,,,,,,,,,,,
Current updating of population figures,,,,,,,,,,,,,,,,,,,,
Population (number),,,,,,,,,,,,,,,,,,,,
Länder,Reference date,,,,,,,,,,,,,,,,,,,
,2015-12-31,,2016-12-31,,2017-12-31,,2018-12-31,,2019-12-31,,2020-12-31,,2021-12-31,,2022-12-31,,2023-12-31,,2024-12-31,
Baden-Württemberg,"10,879,618",e,"10,951,893",e,"11,023,425",e,"11,069,533",e,"11,100,394",e,"11,103,043",e,"11,124,642",e,"11,167,721",e,"11,230,740",e,"11,245,898",e
Bayern,"12,843,514",e,"12,930,751",e,"12,997,204",e,"13,076,721",e,"13,124,737",e,"13,140,183",e,"13,176,989",e,"13,105,221",e,"13,176,426",e,"13,248,928",e
Berlin,"3,520,031",e,"3,574,830",e,"3,613,495",e,"3,644,826",e,"3,669,491",e,"3,664,088",e,"3,677,472",e,"3,632,853",e,"3,662,381",e,"3,685,265",e
Brandenburg,"2,484,826",e,"2,494,648",e,"2,504,040",e,"2,511,917",e,"2,521,893",e,"2,531,071",e,"2,537,868",e,"2,545,159",e,"2,554,464",e,"2,556,747",e
Bremen,"671,489",e,"678,753",e,"681,032",e,"682,986",e,"681,202",e,"680,130",e,"676,463",e,"695,758",e,"702,655",e,"704,881",e
Hamburg,"1,787,408",e,"1,810,438",e,"1,830,584",e,"1,841,179",e,"1,847,253",e,"1,852,478",e,"1,853,935",e,"1,832,675",e,"1,851,596",e,"1,862,565",e
Hessen,"6,176,172",e,"6,213,088",e,"6,243,262",e,"6,265,809",e,"6,288,080",e,"6,293,154",e,"6,295,017",e,"6,236,933",e,"6,267,546",e,"6,280,793",e
Mecklenburg-Vorpommern,"1,612,362",e,"1,610,674",e,"1,611,119",e,"1,609,675",e,"1,608,138",e,"1,610,774",e,"1,611,160",e,"1,576,049",e,"1,578,041",e,"1,573,597",e
Niedersachsen,"7,926,599",e,"7,945,685",e,"7,962,775",e,"7,982,448",e,"7,993,608",e,"8,003,421",e,"8,027,031",e,"7,982,947",e,"8,008,135",e,"8,004,489",e
Nordrhein-Westfalen,"17,865,516",e,"17,890,100",e,"17,912,134",e,"17,932,651",e,"17,947,221",e,"17,925,570",e,"17,924,591",e,"17,964,420",e,"18,017,520",e,"18,034,454",e
Rheinland-Pfalz,"4,052,803",e,"4,066,053",e,"4,073,679",e,"4,084,844",e,"4,093,903",e,"4,098,391",e,"4,106,485",e,"4,108,555",e,"4,125,163",e,"4,129,569",e
Saarland,"995,597",e,"996,651",e,"994,187",e,"990,509",e,"986,887",e,"983,991",e,"982,348",e,"1,011,891",e,"1,014,047",e,"1,012,141",e
Sachsen,"4,084,851",e,"4,081,783",e,"4,081,308",e,"4,077,937",e,"4,071,971",e,"4,056,941",e,"4,043,002",e,"4,049,967",e,"4,054,689",e,"4,042,422",e
Sachsen-Anhalt,"2,245,470",e,"2,236,252",e,"2,223,081",e,"2,208,321",e,"2,194,782",e,"2,180,684",e,"2,169,253",e,"2,150,239",e,"2,144,570",e,"2,135,597",e
Schleswig-Holstein,"2,858,714",e,"2,881,926",e,"2,889,821",e,"2,896,712",e,"2,903,773",e,"2,910,875",e,"2,922,005",e,"2,939,283",e,"2,953,202",e,"2,959,517",e
Thüringen,"2,170,714",e,"2,158,128",e,"2,151,205",e,"2,143,145",e,"2,133,378",e,"2,120,237",e,"2,108,863",e,"2,118,830",e,"2,114,870",e,"2,100,277",e
______________,,,,,,,,,,,,,,,,,,,,
Berlin: Until 1989 only Berlin-West.,,,,,,,,,,,,,,,,,,,,
New Länder from 1990.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
From 2011: Results based on the 2011 Census.,,,,,,,,,,,,,,,,,,,,
From 2022: Results based on the 2022 Census.,,,,,,,,,,,,,,,,,,,,
"© Federal Statistical Office, Wiesbaden 2026 | created: 2026-05-28 / 16:06:23",,,,,,,,,,,,,,,,,,,,
