city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Dortmund,Dortmund,51.5139,7.4653,Germany,DE,DEU,North Rhine-Westphalia,minor,5302179,1276562886
Berlin,Berlin,52.5167,13.3833,Germany,DE,DEU,Berlin,primary,4679500,1276451290
Cologne,Cologne,50.9422,6.9578,Germany,DE,DEU,North Rhine-Westphalia,,3500000,1276015998
Stuttgart,Stuttgart,48.7775,9.18,Germany,DE,DEU,Baden-Württemberg,admin,2787727,1276171358
Munich,Munich,48.1375,11.575,Germany,DE,DEU,Bavaria,admin,2606021,1276692352
Hamburg,Hamburg,53.55,10,Germany,DE,DEU,Hamburg,admin,2496600,1276041799
Frankfurt,Frankfurt,50.1106,8.6822,Germany,DE,DEU,Hesse,minor,2319029,1276054552
Nuremberg,Nuremberg,49.4539,11.0775,Germany,DE,DEU,Bavaria,minor,1374524,1276166609
Dresden,Dresden,51.0493,13.7381,Germany,DE,DEU,Saxony,admin,790400,1276561036
Düsseldorf,Dusseldorf,51.2256,6.7767,Germany,DE,DEU,North Rhine-Westphalia,admin,631217,1276615258
Leipzig,Leipzig,51.3394,12.3711,Germany,DE,DEU,Saxony,minor,619879,1276563678
Wuppertal,Wuppertal,51.2667,7.1833,Germany,DE,DEU,North Rhine-Westphalia,minor,608000,1276004611
Bielefeld,Bielefeld,52.0167,8.5333,Germany,DE,DEU,North Rhine-Westphalia,minor,591862,1276112885
Essen,Essen,51.4508,7.0131,Germany,DE,DEU,North Rhine-Westphalia,minor,586608,1276769247
Bremen,Bremen,53.0758,8.8072,Germany,DE,DEU,Bremen,admin,577026,1276376509
Braunschweig,Braunschweig,52.2692,10.5211,Germany,DE,DEU,Lower Saxony,minor,551000,1276941443
Hannover,Hannover,52.3744,9.7386,Germany,DE,DEU,Lower Saxony,admin,548186,1276457707
Duisburg,Duisburg,51.4322,6.7611,Germany,DE,DEU,North Rhine-Westphalia,minor,503707,1276977172
Bochum,Bochum,51.4833,7.2167,Germany,DE,DEU,North Rhine-Westphalia,minor,366385,1276227288
