"Live births: Länder, years, sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live births (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder
Sex",,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
Baden-Württemberg,Male,"60,680",e,"60,363",e,"60,600",e,"60,594",e,"58,497",e,"57,878",e,"58,903",e,"59,724",e,"57,010",e,"55,794",e,"54,399",e,"52,142",e,"51,404",e,"50,545",e,"49,715",e,"48,279",e,"47,091",e,"47,382",e,"46,997",e,"45,864",e,"46,578",e,"45,425",e,"45,863",e,"47,047",e,"49,271",e,"50,981",e,"55,194",e,"55,015",e,"55,695",e,"55,928",e,"55,755",e,"57,765",e,"53,708",e,"50,370",e,"50,179",e,"48,239",p
,Female,"57,899",e,"57,165",e,"56,959",e,"57,388",e,"54,901",e,"54,581",e,"55,754",e,"56,695",e,"54,046",e,"52,179",e,"51,783",e,"49,224",e,"48,200",e,"47,051",e,"46,940",e,"46,000",e,"44,864",e,"45,441",e,"44,912",e,"43,814",e,"44,117",e,"43,398",e,"43,614",e,"44,458",e,"46,361",e,"49,288",e,"52,293",e,"52,360",e,"53,224",e,"53,057",e,"52,269",e,"55,769",e,"50,841",e,"48,049",e,"47,328",e,"45,823",p
,Total,"118,579",e,"117,528",e,"117,559",e,"117,982",e,"113,398",e,"112,459",e,"114,657",e,"116,419",e,"111,056",e,"107,973",e,"106,182",e,"101,366",e,"99,604",e,"97,596",e,"96,655",e,"94,279",e,"91,955",e,"92,823",e,"91,909",e,"89,678",e,"90,695",e,"88,823",e,"89,477",e,"91,505",e,"95,632",e,"100,269",e,"107,487",e,"107,375",e,"108,919",e,"108,985",e,"108,024",e,"113,534",e,"104,549",e,"98,419",e,"97,507",e,"94,062",p
Bayern,Male,"69,950",e,"69,297",e,"68,396",e,"68,762",e,"65,808",e,"64,625",e,"66,592",e,"66,876",e,"65,047",e,"63,715",e,"61,673",e,"59,813",e,"58,264",e,"57,071",e,"56,680",e,"55,146",e,"53,893",e,"54,640",e,"54,603",e,"53,312",e,"53,769",e,"53,480",e,"55,138",e,"55,913",e,"58,695",e,"60,511",e,"64,503",e,"64,294",e,"65,272",e,"65,760",e,"65,932",e,"68,881",e,"64,000",e,"59,917",e,"58,668",e,"56,900",p
,Female,"66,172",e,"65,103",e,"65,550",e,"65,135",e,"62,020",e,"61,370",e,"62,784",e,"63,641",e,"61,482",e,"59,529",e,"59,092",e,"56,151",e,"55,554",e,"54,465",e,"54,484",e,"52,162",e,"50,929",e,"52,230",e,"51,695",e,"50,398",e,"51,482",e,"50,188",e,"51,901",e,"53,649",e,"55,240",e,"57,717",e,"61,183",e,"61,893",e,"62,344",e,"62,467",e,"62,832",e,"65,440",e,"60,897",e,"56,588",e,"55,697",e,"53,673",p
,Total,"136,122",e,"134,400",e,"133,946",e,"133,897",e,"127,828",e,"125,995",e,"129,376",e,"130,517",e,"126,529",e,"123,244",e,"120,765",e,"115,964",e,"113,818",e,"111,536",e,"111,164",e,"107,308",e,"104,822",e,"106,870",e,"106,298",e,"103,710",e,"105,251",e,"103,668",e,"107,039",e,"109,562",e,"113,935",e,"118,228",e,"125,686",e,"126,187",e,"127,616",e,"128,227",e,"128,764",e,"134,321",e,"124,897",e,"116,505",e,"114,365",e,"110,573",p
Berlin,Male,"19,351",e,"15,682",e,"15,379",e,"14,715",e,"14,828",e,"14,781",e,"15,335",e,"15,697",e,"15,183",e,"15,212",e,"15,202",e,"14,634",e,"14,790",e,"14,748",e,"15,203",e,"14,941",e,"15,108",e,"16,135",e,"16,483",e,"16,394",e,"17,090",e,"17,052",e,"17,898",e,"18,045",e,"19,021",e,"19,614",e,"20,995",e,"20,723",e,"20,612",e,"20,348",e,"19,900",e,"20,176",e,"18,485",e,"17,473",e,"17,362",e,"16,973",p
,Female,"18,245",e,"14,880",e,"14,288",e,"14,009",e,"13,675",e,"13,867",e,"14,570",e,"14,672",e,"14,429",e,"14,644",e,"14,493",e,"13,990",e,"14,011",e,"13,975",e,"14,243",e,"14,035",e,"14,519",e,"15,039",e,"15,453",e,"15,710",e,"16,303",e,"16,023",e,"16,780",e,"16,993",e,"18,347",e,"18,416",e,"20,091",e,"19,437",e,"19,591",e,"19,155",e,"18,793",e,"18,992",e,"17,244",e,"16,647",e,"16,387",e,"16,258",p
,Total,"37,596",e,"30,562",e,"29,667",e,"28,724",e,"28,503",e,"28,648",e,"29,905",e,"30,369",e,"29,612",e,"29,856",e,"29,695",e,"28,624",e,"28,801",e,"28,723",e,"29,446",e,"28,976",e,"29,627",e,"31,174",e,"31,936",e,"32,104",e,"33,393",e,"33,075",e,"34,678",e,"35,038",e,"37,368",e,"38,030",e,"41,086",e,"40,160",e,"40,203",e,"39,503",e,"38,693",e,"39,168",e,"35,729",e,"34,120",e,"33,749",e,"33,233",p
Brandenburg,Male,"15,078",e,"8,680",e,"6,944",e,"6,360",e,"6,363",e,"6,905",e,"7,852",e,"8,365",e,"8,836",e,"9,145",e,"9,461",e,"9,075",e,"9,167",e,"9,276",e,"9,259",e,"9,125",e,"9,258",e,"9,547",e,"9,560",e,"9,534",e,"9,831",e,"9,291",e,"9,418",e,"9,399",e,"9,957",e,"9,900",e,"10,747",e,"10,411",e,"10,265",e,"9,956",e,"9,811",e,"9,759",e,"8,978",e,"8,136",e,"7,908",e,"7,466",p
,Female,"14,160",e,"8,535",e,"6,525",e,"5,878",e,"6,080",e,"6,589",e,"7,288",e,"8,005",e,"8,310",e,"8,783",e,"8,983",e,"8,617",e,"8,537",e,"8,694",e,"8,889",e,"8,785",e,"8,625",e,"9,042",e,"9,248",e,"9,003",e,"9,123",e,"8,988",e,"9,064",e,"8,956",e,"9,382",e,"9,212",e,"10,187",e,"9,926",e,"9,616",e,"9,373",e,"9,187",e,"9,270",e,"8,461",e,"7,749",e,"7,246",e,"7,030",p
